Island,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Delta 15 N (o/oo),Delta 13 C (o/oo),MM,Species
0,39.1,18.7,13.45362404707371,8.229511118964457,8.652405,-25.83352,11,0
0,39.5,17.4,13.638181696985855,8.242756345714477,8.94956,-24.69454,11,0
0,40.3,18.0,13.96424004376894,8.086410275323782,8.368210000000001,-25.33302,16,0
0,44.45,17.3,14.035668847618199,8.306472160100585,8.652405,-25.83352,16,0
0,36.7,19.3,13.892443989449804,8.146129510025405,8.76651,-25.32426,16,0
0,39.3,20.6,13.784048752090222,8.202482446576537,8.66496,-25.29805,16,0
0,38.9,17.8,13.45362404707371,8.195609567288775,9.18718,-25.21799,15,0
0,39.2,19.6,13.96424004376894,8.449984441722787,9.4606,-24.89958,15,0
0,34.1,18.1,13.892443989449804,8.153349757998892,8.652405,-25.83352,9,0
0,42.0,20.2,13.784048752090222,8.354674261918463,9.13362,-25.09368,9,0
0,37.8,17.1,13.638181696985855,8.101677747454572,8.632430000000001,-25.21315,9,0
0,37.8,17.3,13.416407864998739,8.216088098632316,8.652405,-25.83352,9,0
0,41.1,17.6,13.490737563232042,8.070906088787819,8.652405,-25.83352,15,0
0,38.6,21.2,13.820274961085254,8.242756345714477,8.652405,-25.83352,15,0
0,34.6,21.1,14.071247279470288,8.389359819906353,8.55583,-25.22588,16,0
0,36.6,17.8,13.601470508735444,8.216088098632316,8.652405,-25.83352,16,0
0,38.7,19.0,13.96424004376894,8.146129510025405,9.18528,-25.06691,12,0
0,42.5,20.7,14.035668847618199,8.411832675758411,8.67538,-25.13993,12,0
0,34.4,18.4,13.564659966250536,8.109224953089955,8.47827,-25.23319,16,0
0,46.0,21.5,13.92838827718412,8.34283980427146,9.11616,-24.772270000000002,16,0
1,37.8,18.3,13.19090595827292,8.131530710604252,8.73762,-25.09383,12,0
1,37.7,18.7,13.416407864998739,8.1886891244442,8.66271,-25.0639,12,0
1,35.9,19.2,13.74772708486752,8.242756345714477,9.22286,-25.03474,12,0
1,38.2,18.1,13.601470508735444,8.281470857895167,8.43423,-25.22664,12,0
1,38.8,17.2,13.416407864998739,8.242756345714477,9.63954,-25.298560000000002,10,0
1,35.3,18.9,13.674794331177344,8.242756345714477,9.21292,-24.3613,10,0
1,40.6,18.6,13.527749258468683,8.174702882469461,8.939969999999999,-25.36288,12,0
1,40.5,17.9,13.674794331177344,8.070906088787819,8.081380000000001,-25.49448,12,0
1,37.9,18.6,13.114877048604,8.055157731819678,8.384039999999999,-25.19837,10,0
1,40.5,18.9,13.416407864998739,8.281470857895167,8.900269999999999,-25.11609,10,0
2,39.5,16.7,13.341664064126334,8.086410275323782,9.697560000000001,-25.11223,9,0
2,37.2,18.1,13.341664064126334,8.268731832117737,9.72764,-25.0102,9,0
2,39.5,17.8,13.711309200802088,8.101677747454572,9.665230000000001,-25.0602,9,0
2,40.9,18.9,13.564659966250536,8.268731832117737,8.79665,-25.14591,9,0
2,36.4,17.0,13.96424004376894,8.109224953089955,9.178469999999999,-25.230610000000002,16,0
2,39.2,21.1,14.0,8.330863613224745,9.153080000000001,-25.034689999999998,16,0
2,38.8,20.0,13.784048752090222,8.281470857895167,9.18985,-25.12255,16,0
2,42.2,18.5,13.416407864998739,8.174702882469461,8.04787,-25.49523,16,0
2,37.6,19.3,13.45362404707371,8.101677747454572,9.41131,-25.04169,13,0
2,39.8,19.1,13.564659966250536,8.444622498581403,8.652405,-25.83352,13,0
2,36.5,18.0,13.490737563232042,8.055157731819678,9.68933,-24.4228,16,0
2,40.8,18.4,13.96424004376894,8.268731832117737,8.652405,-25.83352,16,0
2,36.0,18.5,13.638181696985855,8.039157390473237,9.507719999999999,-25.03492,19,0
2,44.1,19.7,14.0,8.389359819906353,9.2372,-24.52698,19,0
2,37.0,16.9,13.601470508735444,8.006367567650246,9.36392,-25.01745,16,0
2,39.6,18.8,13.784048752090222,8.433811582477187,9.491060000000001,-24.10255,16,0
2,41.1,19.0,13.490737563232042,8.138856750696325,8.652405,-25.83352,13,0
2,37.5,18.9,13.379088160259652,7.99799931797973,8.652405,-25.83352,13,0
2,36.0,17.9,13.784048752090222,8.146129510025405,9.51784,-25.076829999999998,13,0
2,42.3,21.2,13.820274961085254,8.330863613224745,8.87988,-25.18543,13,0
1,39.6,17.7,13.638181696985855,8.160518247477505,8.46616,-26.12989,6,0
1,40.1,18.9,13.711309200802088,8.366370301681654,8.51362,-26.55602,6,0
1,35.0,17.9,13.784048752090222,8.146129510025405,8.19539,-26.17213,9,0
1,42.0,19.5,14.142135623730951,8.306472160100585,8.48095,-26.3146,9,0
1,34.5,18.1,13.674794331177344,7.9724660159745655,8.41837,-26.547179999999997,9,0
1,41.4,18.6,13.820274961085254,8.216088098632316,8.35396,-26.27853,9,0
